N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
7,uniform,brute,20,4.5,manhattan,0.0564297645292957
3,distance,brute,70,2.5,manhattan,0.060271628599949
5,uniform,brute,80,3.5,manhattan,0.0563864000880699
2,distance,kd_tree,40,3.5,euclidean,0.0670846716677713
2,distance,kd_tree,80,3.0,euclidean,0.0670846716677713
10,uniform,brute,70,3.5,cityblock,0.0561206099020406
6,distance,brute,20,2.5,l2,0.0608805192765842
5,uniform,ball_tree,100,3.0,cityblock,0.0563864000880699
5,uniform,kd_tree,10,3.5,manhattan,0.0563864000880699
2,uniform,kd_tree,80,4.0,l1,0.0645321908345739
3,uniform,ball_tree,100,3.0,l1,0.0610101043831417
2,distance,ball_tree,60,2.5,euclidean,0.0670846716677713
3,uniform,brute,20,4.0,cityblock,0.0610101043831417
4,distance,kd_tree,60,3.5,l2,0.0621728742737315
9,uniform,brute,10,2.0,l1,0.0566877463099764
2,uniform,ball_tree,10,3.0,euclidean,0.0676822173299236
8,uniform,ball_tree,80,3.0,l1,0.0563620209883351
8,distance,ball_tree,40,4.5,euclidean,0.0607260977527407
9,uniform,kd_tree,60,4.0,l1,0.0566877463099764
6,distance,kd_tree,80,3.0,l1,0.0560254445421033
2,uniform,brute,30,1.0,l1,0.0645321908345739
7,uniform,brute,50,4.0,cityblock,0.0564297645292957
10,uniform,brute,60,4.0,l1,0.0561206099020406
10,distance,ball_tree,100,3.5,l2,0.0611405952541102
4,uniform,brute,90,1.0,l2,0.0625082831844474
4,uniform,ball_tree,80,1.0,l2,0.0625082831844474
7,uniform,brute,100,3.0,cityblock,0.0564297645292957
7,uniform,brute,30,4.0,l2,0.0608926783479796
3,uniform,ball_tree,80,1.0,l1,0.0610101043831417
2,distance,brute,80,1.0,l1,0.0636703280070577
5,distance,kd_tree,70,3.0,euclidean,0.0608901564418712
10,uniform,kd_tree,80,2.0,manhattan,0.0561206099020406
2,uniform,ball_tree,30,3.5,euclidean,0.0676822173299236
1,uniform,brute,10,3.5,manhattan,0.0657656499737165
5,distance,ball_tree,10,4.0,cityblock,0.0560367122956044
4,distance,ball_tree,70,4.5,l2,0.0621728742737315
5,uniform,brute,20,4.5,l2,0.0614565226085588
9,distance,brute,80,3.5,l2,0.0608768833832157
3,uniform,brute,80,3.5,l2,0.0664360996149618
9,uniform,ball_tree,70,3.0,l1,0.0566877463099764
9,uniform,ball_tree,20,2.0,euclidean,0.0616303645796201
3,distance,ball_tree,20,2.0,manhattan,0.060271628599949
9,distance,ball_tree,90,3.5,manhattan,0.0561165353430309
10,uniform,ball_tree,90,3.0,l1,0.0561206099020406
2,distance,ball_tree,50,1.0,l1,0.0636703280070577
6,distance,ball_tree,70,4.5,l1,0.0560254445421033
10,uniform,ball_tree,20,4.5,l1,0.0561206099020406
6,uniform,kd_tree,30,2.0,cityblock,0.0564673008316237
5,uniform,brute,60,4.0,cityblock,0.0563864000880699
6,uniform,kd_tree,10,2.5,cityblock,0.0564673008316237
3,uniform,ball_tree,30,3.5,manhattan,0.0610101043831417
2,distance,kd_tree,20,3.0,l2,0.0670846716677713
9,distance,kd_tree,80,4.5,l1,0.0561165353430309
9,uniform,brute,100,4.5,euclidean,0.0616303645796201
3,uniform,brute,80,1.5,l1,0.0610101043831417
7,uniform,kd_tree,80,3.0,cityblock,0.0564297645292957
6,uniform,kd_tree,100,3.5,l1,0.0564673008316237
8,distance,kd_tree,70,1.5,l2,0.0607260977527407
3,uniform,brute,30,2.0,l1,0.0610101043831417
1,uniform,brute,20,2.5,manhattan,0.0657656499737165
5,uniform,kd_tree,20,4.5,l1,0.0563864000880699
6,uniform,ball_tree,70,2.5,euclidean,0.0615802710854214
4,uniform,brute,80,2.0,cityblock,0.0583618792164737
9,uniform,ball_tree,50,3.0,l2,0.0616303645796201
6,uniform,kd_tree,90,1.0,l2,0.0615802710854214
7,uniform,kd_tree,30,3.5,euclidean,0.0608926783479796
7,uniform,kd_tree,40,3.0,l1,0.0564297645292957
9,uniform,kd_tree,80,2.5,l1,0.0566877463099764
2,distance,brute,50,1.5,euclidean,0.0670846716677713
5,uniform,brute,70,2.0,euclidean,0.0614565226085588
7,distance,kd_tree,90,1.5,l1,0.0559659845392726
10,uniform,ball_tree,70,1.5,l1,0.0561206099020406
9,uniform,kd_tree,10,2.0,manhattan,0.0566877463099764
6,distance,ball_tree,10,1.5,l1,0.0560254445421033
8,uniform,ball_tree,20,1.0,cityblock,0.0563620209883351
10,distance,kd_tree,30,2.5,cityblock,0.0555872309008848
2,uniform,kd_tree,100,3.5,cityblock,0.0645321908345739
9,uniform,brute,50,3.0,manhattan,0.0566877463099764
2,uniform,kd_tree,90,4.0,l2,0.0676822173299236
10,uniform,kd_tree,60,2.5,euclidean,0.0618898484600617
9,uniform,kd_tree,100,4.0,euclidean,0.0616303645796201
5,distance,kd_tree,90,3.5,manhattan,0.0560367122956044
8,distance,kd_tree,70,1.5,manhattan,0.0557609525685072
4,uniform,ball_tree,50,1.5,cityblock,0.0583618792164737
7,distance,brute,100,4.5,euclidean,0.0602694460776819
6,distance,ball_tree,40,4.0,cityblock,0.0560254445421033
7,uniform,kd_tree,80,3.5,manhattan,0.0564297645292957
8,distance,brute,20,1.0,l2,0.0607260977527407
5,uniform,brute,100,2.5,cityblock,0.0563864000880699
8,uniform,brute,30,1.0,cityblock,0.0563620209883351
9,distance,brute,90,4.0,l1,0.0561165353430309
8,uniform,brute,70,2.5,cityblock,0.0563620209883351
6,uniform,kd_tree,50,3.0,l1,0.0564673008316237
4,distance,kd_tree,30,2.5,euclidean,0.0621728742737315
9,distance,ball_tree,80,2.5,l1,0.0561165353430309
2,uniform,brute,30,4.5,euclidean,0.0676822173299236
1,uniform,ball_tree,20,3.5,l1,0.0657656499737165
10,distance,brute,100,2.0,euclidean,0.0611405952541101
6,distance,kd_tree,50,4.0,euclidean,0.0608805192765842
7,uniform,kd_tree,20,3.0,euclidean,0.0608926783479796
10,distance,kd_tree,40,2.5,euclidean,0.0611405952541102
7,distance,ball_tree,10,3.5,manhattan,0.0559659845392726
2,uniform,brute,40,3.0,l1,0.0645321908345739
2,distance,ball_tree,50,4.5,euclidean,0.0670846716677713
1,distance,kd_tree,40,3.5,l1,0.0657656499737165
2,uniform,ball_tree,20,3.5,euclidean,0.0676822173299236
1,distance,ball_tree,20,3.0,l1,0.0657656499737165
3,uniform,brute,80,4.0,cityblock,0.0610101043831417
2,uniform,ball_tree,40,1.0,manhattan,0.0645321908345739
8,uniform,kd_tree,70,4.0,manhattan,0.0563620209883351
3,distance,kd_tree,40,4.0,cityblock,0.060271628599949
3,uniform,kd_tree,20,1.5,euclidean,0.0664360996149618
5,distance,brute,90,3.5,euclidean,0.0608901564418712
6,distance,brute,80,3.0,l1,0.0560254445421033
3,distance,ball_tree,20,4.0,euclidean,0.0658648486250553
10,uniform,ball_tree,60,1.5,l1,0.0561206099020406
5,uniform,kd_tree,30,1.5,l2,0.0614565226085588
2,uniform,brute,60,2.0,manhattan,0.0645321908345739
4,uniform,kd_tree,40,2.0,manhattan,0.0583618792164737
6,uniform,brute,20,3.5,l1,0.0564673008316237
9,distance,ball_tree,70,4.0,l2,0.0608768833832157
10,distance,kd_tree,40,4.0,manhattan,0.0555872309008848
6,distance,kd_tree,40,2.0,l2,0.0608805192765842
9,distance,brute,40,1.5,cityblock,0.0561165353430309
10,distance,brute,40,1.0,cityblock,0.0555872309008848
4,distance,kd_tree,10,1.5,euclidean,0.0621728742737315
8,distance,kd_tree,90,1.0,l2,0.0607260977527407
10,uniform,ball_tree,60,1.5,manhattan,0.0561206099020406
3,distance,ball_tree,70,3.5,manhattan,0.060271628599949
7,distance,ball_tree,50,3.0,euclidean,0.0602694460776819
9,uniform,brute,80,1.0,manhattan,0.0566877463099764
8,uniform,brute,50,2.5,manhattan,0.0563620209883351
9,uniform,brute,40,3.0,manhattan,0.0566877463099764
3,distance,brute,50,2.0,cityblock,0.060271628599949
8,distance,kd_tree,50,1.5,manhattan,0.0557609525685072
1,uniform,brute,70,4.5,cityblock,0.0657656499737165
5,uniform,brute,80,3.0,euclidean,0.0614565226085588
3,uniform,kd_tree,10,4.5,l1,0.0610101043831417
6,uniform,brute,80,2.5,manhattan,0.0564673008316237
4,distance,ball_tree,60,2.5,manhattan,0.0577907370839801
2,uniform,ball_tree,50,2.5,euclidean,0.0676822173299236
10,distance,brute,50,3.5,cityblock,0.0555872309008848
4,uniform,brute,100,3.5,l1,0.0583618792164737
5,uniform,kd_tree,50,3.0,manhattan,0.0563864000880699
3,distance,kd_tree,50,2.0,cityblock,0.060271628599949
8,distance,brute,70,3.0,l2,0.0607260977527407
9,distance,ball_tree,70,3.5,l2,0.0608768833832157
4,distance,ball_tree,70,2.0,cityblock,0.0577907370839801
3,uniform,kd_tree,60,1.0,l2,0.0664360996149618
9,distance,kd_tree,30,1.5,cityblock,0.0561165353430309
9,uniform,kd_tree,90,3.0,l2,0.0616303645796201
2,distance,brute,70,1.0,manhattan,0.0636703280070577
10,distance,kd_tree,40,4.0,l2,0.0611405952541102
1,uniform,ball_tree,70,1.0,euclidean,0.0725398679759258
10,uniform,brute,80,4.5,euclidean,0.0618898484600617
7,distance,kd_tree,60,4.0,l1,0.0559659845392726
7,distance,ball_tree,30,2.0,l1,0.0559659845392726
8,uniform,kd_tree,60,4.0,l2,0.0614244059780238
1,uniform,brute,100,3.0,cityblock,0.0657656499737165
4,distance,ball_tree,90,4.5,euclidean,0.0621728742737315
3,uniform,brute,50,3.0,cityblock,0.0610101043831417
6,distance,brute,40,2.5,cityblock,0.0560254445421033
5,distance,ball_tree,40,4.0,l2,0.0608901564418712
7,uniform,brute,70,3.5,l1,0.0564297645292957
8,uniform,kd_tree,30,1.5,manhattan,0.0563620209883351
3,distance,ball_tree,90,3.0,cityblock,0.060271628599949
3,uniform,kd_tree,60,1.5,euclidean,0.0664360996149618
3,uniform,brute,60,3.5,cityblock,0.0610101043831417
1,uniform,kd_tree,100,4.0,l1,0.0657656499737165
9,uniform,ball_tree,90,1.0,l1,0.0566877463099764
1,uniform,kd_tree,20,4.5,cityblock,0.0657656499737165
6,uniform,kd_tree,80,1.5,euclidean,0.0615802710854214
4,distance,ball_tree,90,1.0,l1,0.0577907370839801
1,uniform,brute,10,4.0,l2,0.0725398679759258
3,distance,brute,20,2.0,l2,0.0658648486250553
2,distance,kd_tree,10,3.5,euclidean,0.0670846716677713
5,uniform,ball_tree,20,1.0,manhattan,0.0563864000880699
5,uniform,brute,40,4.0,l1,0.0563864000880699
2,uniform,brute,20,3.5,cityblock,0.0645321908345739
3,distance,brute,90,1.5,manhattan,0.060271628599949
5,uniform,ball_tree,10,3.5,manhattan,0.0563864000880699
8,distance,kd_tree,30,2.5,euclidean,0.0607260977527407
8,uniform,kd_tree,50,1.5,euclidean,0.0614244059780238
7,distance,brute,90,1.5,l1,0.0559659845392726
3,uniform,kd_tree,10,3.0,cityblock,0.0610101043831417
2,uniform,brute,30,4.0,l1,0.0645321908345739
6,distance,ball_tree,50,3.0,manhattan,0.0560254445421033
4,distance,brute,60,3.5,euclidean,0.0621728742737315
8,distance,ball_tree,30,1.5,euclidean,0.0607260977527407
7,uniform,brute,50,1.0,manhattan,0.0564297645292957
2,uniform,kd_tree,30,1.5,manhattan,0.0645321908345739
8,distance,brute,60,2.5,manhattan,0.0557609525685072
5,uniform,ball_tree,80,2.0,l1,0.0563864000880699
2,uniform,kd_tree,20,3.5,manhattan,0.0645321908345739
1,distance,brute,80,3.5,manhattan,0.0657656499737165
2,uniform,brute,10,4.5,manhattan,0.0645321908345739
5,distance,brute,30,3.0,l1,0.0560367122956044
8,uniform,brute,40,2.0,l2,0.0614244059780238
1,uniform,kd_tree,100,4.5,cityblock,0.0657656499737165
4,distance,kd_tree,70,4.5,manhattan,0.0577907370839801
1,uniform,brute,30,2.0,l1,0.0657656499737165
10,uniform,kd_tree,20,4.5,cityblock,0.0561206099020406
4,distance,brute,60,4.0,manhattan,0.0577907370839801
4,distance,ball_tree,100,2.5,l2,0.0621728742737315
1,uniform,kd_tree,10,2.5,euclidean,0.0725398679759258
5,distance,kd_tree,10,1.0,l2,0.0608901564418712
6,distance,ball_tree,30,3.0,l1,0.0560254445421033
3,uniform,kd_tree,50,1.5,cityblock,0.0610101043831417
10,distance,ball_tree,40,4.5,l2,0.0611405952541102
9,uniform,kd_tree,40,2.5,l1,0.0566877463099764
7,uniform,kd_tree,80,2.0,manhattan,0.0564297645292957
10,distance,ball_tree,80,2.5,cityblock,0.0555872309008848
2,uniform,kd_tree,10,4.5,l1,0.0645321908345739
3,distance,kd_tree,50,4.0,manhattan,0.060271628599949
2,uniform,ball_tree,80,1.5,l1,0.0645321908345739
8,distance,ball_tree,30,4.5,manhattan,0.0557609525685072
2,distance,kd_tree,20,1.0,cityblock,0.0636703280070577
3,uniform,ball_tree,20,2.0,manhattan,0.0610101043831417
4,distance,kd_tree,10,4.0,manhattan,0.0577907370839801
4,uniform,ball_tree,90,2.0,l1,0.0583618792164737
7,distance,ball_tree,80,2.0,manhattan,0.0559659845392726
6,uniform,kd_tree,80,3.5,l2,0.0615802710854214
7,uniform,brute,50,3.0,euclidean,0.0608926783479796
4,uniform,ball_tree,50,4.5,l1,0.0583618792164737
4,distance,ball_tree,60,3.5,cityblock,0.0577907370839801
9,uniform,brute,20,4.5,cityblock,0.0566877463099764
9,distance,brute,90,4.0,euclidean,0.0608768833832157
5,uniform,kd_tree,10,2.0,euclidean,0.0614565226085588
2,uniform,ball_tree,50,3.5,l1,0.0645321908345739
2,distance,brute,90,2.5,manhattan,0.0636703280070577
6,distance,brute,10,2.0,l2,0.0608805192765842
7,uniform,ball_tree,40,2.5,cityblock,0.0564297645292957
10,distance,kd_tree,80,2.0,cityblock,0.0555872309008848
5,uniform,ball_tree,80,4.0,manhattan,0.0563864000880699
6,uniform,kd_tree,80,1.0,euclidean,0.0615802710854214
5,distance,brute,40,1.5,manhattan,0.0560367122956044
10,distance,ball_tree,60,3.0,manhattan,0.0555872309008848
1,distance,brute,70,3.5,l2,0.0725398679759258
10,distance,kd_tree,10,3.5,cityblock,0.0555872309008848
8,uniform,kd_tree,60,2.0,manhattan,0.0563620209883351
10,distance,brute,60,2.0,euclidean,0.0611405952541101
2,distance,ball_tree,60,2.0,manhattan,0.0636703280070577
9,distance,brute,30,4.0,euclidean,0.0608768833832157
10,distance,brute,100,3.0,cityblock,0.0555872309008848
3,uniform,kd_tree,100,1.0,manhattan,0.0610101043831417
10,uniform,brute,40,2.0,l2,0.0618898484600617
6,distance,ball_tree,20,3.5,euclidean,0.0608805192765842
9,uniform,kd_tree,80,1.0,l2,0.0616303645796201
8,distance,kd_tree,20,3.0,euclidean,0.0607260977527407
1,distance,brute,80,3.5,l1,0.0657656499737165
3,distance,ball_tree,60,3.0,manhattan,0.060271628599949
10,distance,ball_tree,80,2.5,l1,0.0555872309008848
2,uniform,ball_tree,30,3.0,manhattan,0.0645321908345739
2,uniform,kd_tree,40,4.5,l1,0.0645321908345739
9,uniform,kd_tree,40,3.5,euclidean,0.0616303645796201
5,distance,kd_tree,10,2.5,manhattan,0.0560367122956044
8,distance,kd_tree,10,3.0,euclidean,0.0607260977527407
3,uniform,kd_tree,10,3.5,cityblock,0.0610101043831417
10,distance,brute,10,3.5,l1,0.0555872309008848
3,distance,kd_tree,100,4.0,cityblock,0.060271628599949
9,uniform,brute,30,2.0,l1,0.0566877463099764
2,distance,brute,70,1.0,euclidean,0.0670846716677713
5,uniform,brute,50,1.0,manhattan,0.0563864000880699
9,distance,brute,10,1.0,l1,0.0561165353430309
7,distance,ball_tree,10,3.0,l1,0.0559659845392726
3,uniform,kd_tree,70,1.5,l1,0.0610101043831417
8,uniform,kd_tree,30,3.0,manhattan,0.0563620209883351
10,distance,ball_tree,40,3.0,euclidean,0.0611405952541102
3,distance,ball_tree,10,3.0,manhattan,0.060271628599949
6,uniform,ball_tree,100,3.5,l2,0.0615802710854214
2,distance,brute,20,2.0,manhattan,0.0636703280070577
6,uniform,ball_tree,80,3.5,manhattan,0.0564673008316237
1,uniform,brute,80,3.5,euclidean,0.0725398679759258
10,uniform,brute,10,3.0,euclidean,0.0618898484600617
5,distance,ball_tree,60,4.0,l1,0.0560367122956044
6,distance,ball_tree,70,1.5,l1,0.0560254445421033
8,distance,ball_tree,100,4.5,l2,0.0607260977527407
2,uniform,kd_tree,10,4.0,l2,0.0676822173299236
2,distance,ball_tree,10,2.5,l2,0.0670846716677713
6,uniform,ball_tree,40,4.0,l2,0.0615802710854214
1,uniform,ball_tree,20,4.5,manhattan,0.0657656499737165
7,distance,kd_tree,100,4.0,manhattan,0.0559659845392726
6,distance,kd_tree,20,4.0,l1,0.0560254445421033
9,distance,brute,30,3.5,cityblock,0.0561165353430309
3,distance,ball_tree,80,1.0,l2,0.0658648486250553
9,uniform,brute,50,2.0,cityblock,0.0566877463099764
2,uniform,ball_tree,80,4.0,euclidean,0.0676822173299236
2,uniform,brute,90,2.0,l1,0.0645321908345739
6,uniform,kd_tree,10,1.0,l2,0.0615802710854214
10,uniform,ball_tree,40,3.0,euclidean,0.0618898484600617
8,distance,ball_tree,60,3.0,l1,0.0557609525685072
1,uniform,kd_tree,30,1.5,l1,0.0657656499737165
5,uniform,ball_tree,50,3.0,cityblock,0.0563864000880699
6,uniform,ball_tree,80,2.0,manhattan,0.0564673008316237
4,uniform,kd_tree,80,2.0,euclidean,0.0625082831844474
6,uniform,ball_tree,10,1.5,l2,0.0615802710854214
5,uniform,ball_tree,100,1.0,manhattan,0.0563864000880699
9,distance,kd_tree,40,2.0,manhattan,0.0561165353430309
5,distance,kd_tree,90,2.0,euclidean,0.0608901564418712
6,uniform,kd_tree,10,1.5,l1,0.0564673008316237
3,distance,brute,40,4.5,l2,0.0658648486250553
2,distance,kd_tree,20,3.5,cityblock,0.0636703280070577
1,uniform,ball_tree,50,3.5,euclidean,0.0725398679759258
1,distance,ball_tree,20,4.5,manhattan,0.0657656499737165
8,distance,ball_tree,10,1.5,cityblock,0.0557609525685072
3,uniform,ball_tree,40,1.5,euclidean,0.0664360996149618
3,uniform,brute,10,2.0,l1,0.0610101043831417
3,uniform,ball_tree,40,4.0,manhattan,0.0610101043831417
4,uniform,ball_tree,50,4.0,euclidean,0.0625082831844474
2,uniform,brute,70,4.5,l2,0.0676822173299236
4,uniform,brute,90,3.5,l2,0.0625082831844474
7,distance,kd_tree,30,4.5,manhattan,0.0559659845392726
3,uniform,brute,10,1.0,l1,0.0610101043831417
7,distance,ball_tree,60,4.0,euclidean,0.0602694460776819
6,uniform,kd_tree,30,2.0,l2,0.0615802710854214
3,distance,kd_tree,90,4.0,cityblock,0.060271628599949
10,distance,brute,100,3.5,l2,0.0611405952541102
7,uniform,brute,20,1.5,euclidean,0.0608926783479796
4,distance,brute,70,1.5,manhattan,0.0577907370839801
8,uniform,ball_tree,30,2.0,l2,0.0614244059780238
1,distance,brute,50,4.0,l2,0.0725398679759258
2,uniform,kd_tree,70,1.0,cityblock,0.0645321908345739
10,uniform,ball_tree,100,2.5,l1,0.0561206099020406
7,uniform,brute,40,1.5,euclidean,0.0608926783479796
1,uniform,brute,10,1.0,euclidean,0.0725398679759258
2,uniform,ball_tree,30,2.5,l2,0.0676822173299236
3,distance,brute,80,2.5,cityblock,0.060271628599949
1,uniform,brute,80,4.0,manhattan,0.0657656499737165
5,distance,ball_tree,70,1.0,l2,0.0608901564418712
9,uniform,ball_tree,90,4.0,euclidean,0.0616303645796201
9,uniform,ball_tree,10,2.5,euclidean,0.0616303645796201
7,uniform,ball_tree,60,4.5,euclidean,0.0608926783479796
2,distance,kd_tree,100,2.5,manhattan,0.0636703280070577
5,distance,ball_tree,40,4.5,manhattan,0.0560367122956044
10,uniform,brute,60,4.0,cityblock,0.0561206099020406
5,distance,ball_tree,100,2.0,euclidean,0.0608901564418712
7,uniform,ball_tree,90,1.0,l2,0.0608926783479796
1,uniform,kd_tree,90,2.0,l2,0.0725398679759258
5,uniform,ball_tree,30,4.5,l2,0.0614565226085588
5,distance,brute,10,3.5,manhattan,0.0560367122956044
9,uniform,kd_tree,40,4.5,cityblock,0.0566877463099764
10,distance,kd_tree,50,1.5,l2,0.0611405952541102
3,distance,brute,100,2.5,euclidean,0.0658648486250553
8,distance,brute,60,4.0,l1,0.0557609525685072
2,uniform,brute,30,2.5,cityblock,0.0645321908345739
10,distance,brute,80,2.0,l2,0.0611405952541102
9,distance,ball_tree,100,3.0,l2,0.0608768833832157
9,distance,ball_tree,80,1.0,euclidean,0.0608768833832157
6,distance,kd_tree,90,2.5,l1,0.0560254445421033
4,distance,brute,20,1.5,manhattan,0.0577907370839801
7,uniform,ball_tree,60,2.0,l2,0.0608926783479796
10,distance,kd_tree,40,3.0,cityblock,0.0555872309008848
3,distance,kd_tree,70,3.0,manhattan,0.060271628599949
1,distance,kd_tree,50,1.0,l1,0.0657656499737165
10,uniform,kd_tree,10,2.5,l1,0.0561206099020406
6,uniform,brute,50,4.0,l2,0.0615802710854214
6,uniform,kd_tree,70,1.0,euclidean,0.0615802710854214
5,uniform,brute,50,3.0,l1,0.0563864000880699
4,uniform,ball_tree,90,4.5,l1,0.0583618792164737
1,uniform,brute,100,4.0,l2,0.0725398679759258
10,distance,kd_tree,30,2.5,euclidean,0.0611405952541102
6,uniform,kd_tree,70,1.5,cityblock,0.0564673008316237
6,uniform,brute,50,2.0,euclidean,0.0615802710854214
3,distance,brute,100,3.5,l1,0.060271628599949
10,uniform,kd_tree,50,1.0,euclidean,0.0618898484600617
4,uniform,kd_tree,60,3.5,manhattan,0.0583618792164737
4,uniform,brute,10,4.0,euclidean,0.0625082831844474
9,uniform,brute,80,2.0,manhattan,0.0566877463099764
5,distance,ball_tree,60,3.5,l2,0.0608901564418712
1,distance,kd_tree,100,3.0,l1,0.0657656499737165
8,distance,ball_tree,10,3.0,euclidean,0.0607260977527407
6,distance,kd_tree,70,3.0,l1,0.0560254445421033
6,uniform,brute,100,1.5,euclidean,0.0615802710854214
8,uniform,brute,10,2.0,l2,0.0614244059780238
1,uniform,kd_tree,60,2.0,l2,0.0725398679759258
1,uniform,kd_tree,30,1.5,cityblock,0.0657656499737165
3,distance,brute,10,4.0,euclidean,0.0658648486250553
3,uniform,brute,100,4.0,l2,0.0664360996149618
5,distance,kd_tree,90,2.0,l2,0.0608901564418712
10,distance,ball_tree,100,2.5,manhattan,0.0555872309008848
1,uniform,kd_tree,100,2.0,cityblock,0.0657656499737165
7,uniform,ball_tree,80,1.0,euclidean,0.0608926783479796
7,distance,ball_tree,30,4.0,euclidean,0.0602694460776819
1,uniform,kd_tree,80,2.0,manhattan,0.0657656499737165
9,uniform,brute,60,4.5,l2,0.0616303645796201
3,distance,kd_tree,80,3.5,l2,0.0658648486250553
2,distance,ball_tree,30,4.0,l2,0.0670846716677713
1,uniform,brute,80,2.0,manhattan,0.0657656499737165
4,uniform,kd_tree,40,3.5,cityblock,0.0583618792164737
2,distance,ball_tree,70,1.0,cityblock,0.0636703280070577
7,uniform,kd_tree,80,2.5,l2,0.0608926783479796
4,uniform,kd_tree,10,2.0,euclidean,0.0625082831844474
6,uniform,kd_tree,40,2.0,l1,0.0564673008316237
6,uniform,kd_tree,50,1.5,cityblock,0.0564673008316237
8,distance,kd_tree,100,4.0,cityblock,0.0557609525685072
4,distance,brute,50,4.0,manhattan,0.0577907370839801
7,distance,kd_tree,70,1.5,manhattan,0.0559659845392726
3,distance,brute,70,3.5,euclidean,0.0658648486250553
8,uniform,kd_tree,20,3.0,manhattan,0.0563620209883351
6,distance,brute,30,1.5,l1,0.0560254445421033
1,distance,ball_tree,80,4.5,l2,0.0725398679759258
1,uniform,brute,100,4.0,euclidean,0.0725398679759258
9,distance,kd_tree,10,2.5,l1,0.0561165353430309
4,uniform,brute,80,3.5,l2,0.0625082831844474
10,distance,brute,40,1.5,manhattan,0.0555872309008848
3,distance,kd_tree,80,1.5,manhattan,0.060271628599949
8,distance,brute,60,2.0,manhattan,0.0557609525685072
8,uniform,ball_tree,40,4.5,euclidean,0.0614244059780238
4,distance,brute,40,4.5,cityblock,0.0577907370839801
8,uniform,kd_tree,60,2.0,l2,0.0614244059780238
8,distance,brute,20,4.5,l2,0.0607260977527407
8,distance,ball_tree,100,4.5,l1,0.0557609525685072
9,uniform,ball_tree,70,4.0,l1,0.0566877463099764
9,uniform,kd_tree,100,3.5,cityblock,0.0566877463099764
2,uniform,brute,60,2.5,euclidean,0.0676822173299236
6,uniform,ball_tree,30,3.5,euclidean,0.0615802710854214
7,uniform,ball_tree,60,2.0,cityblock,0.0564297645292957
1,uniform,kd_tree,50,2.5,l1,0.0657656499737165
3,uniform,ball_tree,30,1.5,euclidean,0.0664360996149618
6,uniform,kd_tree,10,2.0,l1,0.0564673008316237
8,distance,brute,100,2.5,manhattan,0.0557609525685072
1,uniform,ball_tree,20,2.0,l1,0.0657656499737165
2,uniform,ball_tree,20,1.5,l2,0.0676822173299236
10,distance,ball_tree,80,1.5,euclidean,0.0611405952541102
4,uniform,brute,80,4.5,euclidean,0.0625082831844474
2,uniform,ball_tree,60,2.0,l2,0.0676822173299236
10,uniform,kd_tree,30,3.5,l1,0.0561206099020406
8,distance,ball_tree,80,2.0,l1,0.0557609525685072
5,uniform,ball_tree,90,1.5,l1,0.0563864000880699
3,uniform,ball_tree,60,1.5,euclidean,0.0664360996149618
7,uniform,kd_tree,40,2.5,l2,0.0608926783479796
2,distance,kd_tree,30,3.5,manhattan,0.0636703280070577
3,distance,ball_tree,10,3.5,l2,0.0658648486250553
10,distance,kd_tree,20,3.0,cityblock,0.0555872309008848
9,uniform,ball_tree,50,3.5,euclidean,0.0616303645796201
9,uniform,ball_tree,10,1.5,l2,0.0616303645796201
6,distance,kd_tree,10,4.5,l1,0.0560254445421033
1,uniform,kd_tree,90,4.5,l2,0.0725398679759258
1,uniform,ball_tree,50,2.5,cityblock,0.0657656499737165
8,uniform,brute,70,4.0,l1,0.0563620209883351
2,distance,ball_tree,70,4.5,cityblock,0.0636703280070577
1,distance,kd_tree,40,3.5,l2,0.0725398679759258
5,distance,ball_tree,10,4.5,cityblock,0.0560367122956044
9,distance,kd_tree,30,3.0,manhattan,0.0561165353430309
6,uniform,kd_tree,90,3.0,euclidean,0.0615802710854214
5,uniform,brute,50,3.5,euclidean,0.0614565226085588
6,uniform,ball_tree,70,1.5,manhattan,0.0564673008316237
6,uniform,brute,90,3.0,euclidean,0.0615802710854214
3,distance,brute,30,2.5,l2,0.0658648486250553
2,uniform,kd_tree,50,1.5,manhattan,0.0645321908345739
7,uniform,brute,40,2.0,euclidean,0.0608926783479796
8,distance,kd_tree,10,2.5,l2,0.0607260977527407
8,distance,brute,100,4.0,l1,0.0557609525685072
9,uniform,ball_tree,40,4.5,l2,0.0616303645796201
4,uniform,kd_tree,60,4.0,euclidean,0.0625082831844474
4,uniform,ball_tree,80,2.0,l2,0.0625082831844474
2,distance,ball_tree,100,1.5,cityblock,0.0636703280070577
7,uniform,ball_tree,40,3.0,manhattan,0.0564297645292957
10,distance,ball_tree,60,1.5,manhattan,0.0555872309008848
9,distance,brute,60,3.5,cityblock,0.0561165353430309
4,distance,brute,60,2.0,euclidean,0.0621728742737315
2,uniform,kd_tree,10,3.0,l2,0.0676822173299236
2,distance,kd_tree,100,4.5,manhattan,0.0636703280070577
6,distance,kd_tree,80,3.5,euclidean,0.0608805192765842
8,distance,ball_tree,40,1.0,l2,0.0607260977527407
3,distance,kd_tree,10,3.5,l1,0.060271628599949
3,uniform,kd_tree,70,2.0,euclidean,0.0664360996149618
2,uniform,brute,90,2.5,manhattan,0.0645321908345739
9,uniform,ball_tree,60,1.0,cityblock,0.0566877463099764
